Session source,New users,Sessions,Engagement rate,Average engagement time per session,Bounce rate,Engaged sessions
(direct),159,186,0.24731182795698925,94.6432035591398,0.75268817204301075,46
(not set),54,103,0.26213592233009708,187.13383785436892,0.73786407766990292,27
(data not available),45,60,0.75,347.4323773166667,0.25,45
google,29,61,0.639344262295082,405.21662260655739,0.36065573770491804,39
rss,8,9,0.22222222222222221,11.626655333333334,0.77777777777777779,2
wordpress,5,7,0.5714285714285714,261.877141,0.42857142857142855,4
external_site,3,5,0.4,67.1228368,0.6,2
website,3,5,0.6,62.608030600000006,0.4,3
bing,2,2,1,426.6964465,0,2
wordpress_org,2,2,0,0,1,0
yandex.ru,2,3,1,30.345721666666666,0,3
csv_importer_free_plugin,1,1,0,1.84824,1,0
fr.wordpress.org,1,1,1,273.994809,0,1
gemini.google.com,1,1,1,217.701921,0,1
homebrasilia.com.br,1,2,0.5,7.0600455,0.5,1
identity.co.uk,1,1,1,10.788028,0,1
jingmu.xyz,1,1,1,329.668193,0,1
kyoto-be.ne.jp,1,1,1,90.561651,0,1
marketplace,1,1,0,0,1,0
medium,1,1,0,0,1,0
wp.mayer-motorgeraete.de,1,1,1,119.747476,0,1
wpdemo.net,1,1,0,0,1,0
wpfloor,1,2,0.5,10.6123515,0.5,1
ya.ru,1,1,1,692.508997,0,1
yahoo,1,3,0.33333333333333331,254.49433966666666,0.66666666666666663,1
192.168.10.250:8888,0,1,0,0,1,0
dealspotr.com,0,1,1,526.393674,0,1
djlightingdiscount.com,0,1,0,0.097096,1,0
fonipeiraioton.gr,0,1,1,1096.5534,0,1
in.search.yahoo.com,0,5,0.6,1045.1716576000001,0.4,3
mmd24-26.isme-35-edu.net,0,2,0.5,9.1164685,0.5,1
plugin,0,1,1,66.825611,0,1
rankmath,0,1,1,448.587992,0,1
readme,0,1,0,4.198747,1,0
sputnik,0,1,1,1387.974481,0,1
wordpress.org,0,1,1,4996.972753,0,1
worldpressit.com,0,1,1,128.276789,0,1
