item name,items viewed,items added to cart,items purchased,item revenue,clicks,impressions,ctr,position,errors
AIO WP Media Library Manager,0,3,0,0.0,0,0,0,0,
AIO WPメディアライブラリマネージャー,0,1,0,0.0,0,0,0,0,
Administrador de bibliotecas de medios AIO WP,0,1,0,0.0,0,0,0,0,
Administrador fácil de inventario y stock para WooCommerce,0,1,0,0.0,0,0,0,0,
Correos electrónicos de seguimiento de WP,0,1,0,0.0,0,0,0,0,
Easy Inventory And Stock Manager for WooCommerce,0,2,0,0.0,0,0,0,0,
Importador CSV WP Ultimate Pro,0,2,0,0.0,0,0,0,0,
W2S Sync Pro,0,2,0,0.0,0,0,0,0,
WP Exportador definitivo,0,2,0,0.0,0,0,0,0,
WP Ultimate CSV Importer &#8211; Custom Fields Import,0,13,0,0.0,0,0,0,0,
WP Ultimate CSV Importer &#8211; WPML Import,0,10,0,0.0,0,0,0,0,
WP Ultimate CSV Importer &#8211; カスタムフィールドのインポート,0,1,1,199.0,0,0,0,0,
WP Ultimate CSV Importer Pro,0,32,2,538.2,0,0,0,0,
WP Ultimate Exporter,0,5,0,0.0,0,0,0,0,
WPアルティメットCSVインポータープロ,0,1,0,0.0,0,0,0,0,
WPアルティメットエクスポーター,0,2,0,0.0,0,0,0,0,
WordPress Follow Up Email Plugin,0,1,0,0.0,0,0,0,0,
WordPress Leads Builder for any CRM,0,3,1,99.0,0,0,0,0,
WordPressフォローアップメールプラグイン,0,1,0,0.0,0,0,0,0,
あらゆるCRMに対応するWordPressリードビルダー,0,1,0,0.0,0,0,0,0,
