event name,event count,total users,total revenue,event count per active user,clicks,impressions,ctr,position,errors
page_view,633,303,0.0,2.089108910891089,0,0,0,0,
scroll_depth,471,105,0.0,4.485714285714286,0,0,0,0,
session_start,348,306,0.0,1.1372549019607845,0,0,0,0,
user_engagement,323,142,0.0,2.2746478873239435,0,0,0,0,
first_visit,270,270,0.0,1.0,0,0,0,0,
begin_checkout,135,122,0.0,1.1065573770491803,0,0,0,0,
add_to_cart,77,76,0.0,1.013157894736842,0,0,0,0,
view_item_list,14,6,0.0,2.333333333333333,0,0,0,0,
checkout,12,7,0.0,1.7142857142857142,0,0,0,0,
csv_sales_funnel,12,7,0.0,1.7142857142857142,0,0,0,0,
csv_sales_all,6,6,0.0,1.0,0,0,0,0,
leads_builder_sales,6,6,0.0,1.0,0,0,0,0,
vt_mc_sales,6,6,0.0,1.0,0,0,0,0,
all_checkout,5,5,0.0,1.0,0,0,0,0,
all_sales,5,5,0.0,1.0,0,0,0,0,
ga4_google_calendar_sales_funnel,5,5,0.0,1.0,0,0,0,0,
lead_capture_sales_funnel,5,5,0.0,1.0,0,0,0,0,
vtiger_mailchimp_sales_funnel,5,5,0.0,1.0,0,0,0,0,
click,4,4,0.0,1.0,0,0,0,0,
purchase,4,4,836.2,1.0,0,0,0,0,
